,Unnamed: 0,LengthJumper,MetricPatternJumper,LengthDataset,MetricPatternDataset
25,25,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
26,26,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
27,27,14,"[4, 6, 8, 10, 13]",14,"[4, 6, 8, 10, 13]"
28,28,14,"[2, 6, 10, 13]",14,"[2, 6, 9, 13]"
29,29,14,"[2, 4, 6, 8, 13]",14,"[2, 4, 6, 8, 13]"
30,30,14,"[1, 6, 8, 11, 13]",14,"[1, 6, 8, 11, 13]"
31,31,14,"[4, 6, 8, 13]",14,"[4, 6, 8, 13]"
32,32,14,"[1, 4, 6, 8, 11, 13]",14,"[1, 4, 6, 8, 11, 13]"
33,33,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
34,34,14,"[4, 6, 8, 13]",14,"[4, 6, 8, 13]"
35,35,14,"[3, 6, 8, 9, 13]",14,"[3, 6, 9, 13]"
36,36,14,"[2, 6, 8, 9, 13]",14,"[2, 6, 9, 13]"
37,37,14,"[4, 6, 9, 13]",14,"[4, 6, 9, 13]"
38,38,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
39,39,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
40,40,14,"[1, 2, 4, 6, 9, 11, 13]",14,"[1, 2, 4, 6, 9, 11, 13]"
41,41,14,"[1, 3, 4, 6, 11, 13]",14,"[1, 3, 4, 6, 11, 13]"
42,42,14,"[2, 5, 6, 9, 10, 11, 13]",14,"[2, 5, 6, 9, 10, 13]"
43,43,14,"[3, 6, 8, 11, 13]",14,"[3, 6, 8, 11, 13]"
44,44,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
45,45,14,"[4, 6, 8, 10, 13]",14,"[4, 6, 8, 10, 13]"
46,46,14,"[3, 6, 9, 11, 13]",14,"[3, 6, 9, 11, 13]"
47,47,14,"[2, 4, 6, 8, 11, 13]",14,"[2, 4, 6, 8, 11, 13]"
48,48,14,"[2, 6, 11, 13]",14,"[2, 6, 11, 13]"
49,49,14,"[1, 3, 6, 11, 13]",14,"[1, 3, 6, 11, 13]"
50,50,14,"[2, 5, 6, 9, 13]",14,"[2, 5, 6, 9, 13]"
51,51,14,"[3, 5, 6, 9, 13]",14,"[3, 5, 6, 9, 13]"
52,52,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
53,53,14,"[1, 3, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
54,54,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
55,55,14,"[2, 5, 6, 9, 13]",14,"[2, 6, 9, 13]"
56,56,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
57,57,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
58,58,14,"[1, 3, 6, 11, 13]",14,"[1, 3, 6, 11, 13]"
59,59,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
60,60,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
61,61,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
62,62,14,"[3, 6, 10, 13]",14,"[1, 3, 6, 8, 10, 13]"
63,63,14,"[2, 6, 9, 11, 13]",14,"[2, 6, 9, 11, 13]"
64,64,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
65,65,14,"[1, 3, 6, 11, 12, 13]",14,"[1, 3, 6, 11, 13]"
66,66,14,"[1, 3, 5, 7, 10, 13]",14,"[1, 3, 6, 8, 10, 13]"
67,67,14,"[4, 6, 11, 13]",14,"[4, 6, 11, 13]"
68,68,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
69,69,14,"[3, 6, 11, 12, 13]",14,"[3, 6, 11, 13]"
70,70,14,"[2, 4, 6, 10, 13]",14,"[2, 4, 6, 10, 13]"
71,71,14,"[1, 2, 6, 9, 13]",14,"[1, 2, 6, 9, 13]"
72,72,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
73,73,14,"[2, 4, 6, 9, 10, 13]",14,"[2, 6, 9, 10, 13]"
74,74,14,"[3, 6, 8, 13]",14,"[3, 6, 8, 13]"
75,75,14,"[1, 3, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
76,76,13,"[1, 4, 6, 9, 12]",14,"[1, 4, 6, 9, 13]"
77,77,14,"[1, 6, 9, 13]",14,"[1, 6, 9, 13]"
78,78,14,"[2, 6, 11, 13]",14,"[2, 6, 11, 13]"
79,79,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
80,80,14,"[1, 2, 6, 9, 13]",14,"[1, 2, 6, 9, 13]"
81,81,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
82,82,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
83,83,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
84,84,14,"[1, 3, 6, 9, 10, 13]",14,"[1, 3, 6, 9, 10, 13]"
85,85,14,"[2, 6, 10, 13]",14,"[2, 6, 9, 13]"
86,86,14,"[1, 2, 6, 9, 11, 13]",14,"[1, 2, 6, 11, 13]"
87,87,14,"[3, 4, 6, 9, 13]",14,"[3, 4, 6, 9, 13]"
88,88,14,"[1, 6, 10, 13]",14,"[1, 6, 11, 13]"
89,89,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
90,90,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
91,91,14,"[2, 6, 10, 13]",14,"[2, 6, 9, 13]"
92,92,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
93,93,14,"[4, 6, 11, 13]",14,"[4, 6, 11, 13]"
94,94,14,"[3, 6, 10, 13]",14,"[3, 6, 9, 13]"
95,95,15,"[1, 4, 7, 10, 14]",14,"[1, 4, 6, 9, 13]"
96,96,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
97,97,14,"[1, 3, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
98,98,14,"[2, 4, 6, 9, 10, 13]",14,"[2, 6, 10, 13]"
99,99,14,"[3, 6, 8, 10, 13]",14,"[3, 6, 10, 13]"
100,100,14,"[2, 3, 4, 6, 8, 10, 13]",14,"[2, 3, 4, 6, 8, 10, 13]"
101,101,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
102,102,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
103,103,14,"[2, 5, 6, 10, 13]",14,"[2, 6, 10, 13]"
104,104,14,"[2, 3, 6, 11, 13]",14,"[2, 3, 6, 11, 13]"
105,105,14,"[2, 4, 6, 9, 13]",14,"[2, 4, 6, 11, 13]"
106,106,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
107,107,14,"[4, 6, 9, 10, 11, 13]",14,"[4, 6, 9, 11, 13]"
108,108,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
109,109,14,"[1, 2, 3, 6, 8, 9, 13]",14,"[1, 2, 3, 6, 9, 13]"
110,110,14,"[2, 6, 9, 10, 13]",14,"[2, 6, 9, 10, 13]"
111,111,14,"[2, 3, 6, 10, 13]",14,"[3, 6, 10, 13]"
112,112,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
113,113,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
114,114,14,"[3, 4, 6, 9, 11, 13]",14,"[1, 3, 4, 6, 9, 11, 13]"
115,115,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
116,116,14,"[2, 4, 6, 8, 10, 13]",14,"[2, 4, 6, 8, 10, 13]"
117,117,15,"[1, 4, 7, 9, 12, 14]",14,"[1, 4, 6, 8, 11, 13]"
118,118,14,"[1, 6, 10, 13]",14,"[1, 6, 10, 13]"
119,119,14,"[2, 4, 6, 10, 13]",14,"[2, 4, 6, 10, 13]"
120,120,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
121,121,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
122,122,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
123,123,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 11, 13]"
124,124,14,"[2, 6, 11, 13]",14,"[2, 6, 11, 13]"
125,125,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
126,126,14,"[4, 6, 9, 13]",14,"[4, 6, 9, 13]"
127,127,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
128,128,14,"[4, 6, 11, 13]",14,"[4, 6, 11, 13]"
129,129,14,"[1, 2, 3, 6, 8, 10, 13]",14,"[1, 2, 3, 6, 10, 13]"
130,130,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
131,131,14,"[3, 6, 8, 10, 13]",14,"[3, 6, 10, 13]"
132,132,14,"[1, 3, 6, 9, 11, 13]",14,"[3, 6, 9, 11]"
133,133,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
134,134,14,"[1, 2, 4, 6, 11, 13]",14,"[1, 2, 4, 6, 11, 13]"
135,135,14,"[2, 6, 9, 13]",14,"[2, 6, 10, 13]"
136,136,14,"[2, 6, 10, 13]",14,"[3, 6, 10, 13]"
137,137,14,"[2, 4, 6, 10, 13]",14,"[2, 4, 6, 10, 13]"
138,138,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
139,139,14,"[2, 6, 8, 10, 13]",14,"[2, 6, 8, 10, 13]"
140,140,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
141,141,14,"[2, 4, 6, 8, 11, 13]",14,"[2, 4, 6, 8, 11, 13]"
142,142,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
143,143,14,"[3, 6, 9, 11, 13]",14,"[3, 6, 9, 11, 13]"
144,144,14,"[2, 6, 9, 11, 13]",14,"[2, 6, 9, 11, 13]"
145,145,14,"[2, 6, 8, 10, 13]",14,"[2, 6, 8, 10, 13]"
146,146,14,"[2, 6, 9, 10, 13]",14,"[2, 6, 9, 10, 13]"
147,147,14,"[2, 3, 6, 10, 13]",14,"[2, 3, 6, 10, 13]"
148,148,14,"[2, 4, 6, 9, 10, 13]",14,"[2, 4, 6, 9, 10, 13]"
149,149,14,"[4, 6, 8, 11, 13]",14,"[4, 6, 8, 11, 13]"
150,150,14,"[4, 6, 11, 13]",14,"[4, 6, 11, 13]"
151,151,14,"[1, 2, 6, 10, 13]",14,"[1, 2, 6, 10, 13]"
152,152,14,"[3, 6, 9, 11, 13]",14,"[3, 6, 9, 11, 13]"
153,153,14,"[1, 6, 9, 13]",14,"[1, 6, 9, 13]"
154,154,14,"[2, 6, 8, 11, 13]",14,"[2, 6, 8, 11, 13]"
155,155,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
156,156,14,"[2, 3, 5, 6, 9, 11, 13]",14,"[2, 3, 5, 6, 9, 11, 13]"
157,157,14,"[1, 2, 3, 6, 9, 13]",14,"[1, 2, 3, 6, 9, 13]"
158,158,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
159,159,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
160,160,14,"[1, 4, 6, 9, 11, 13]",14,"[1, 4, 6, 9, 11, 13]"
161,161,14,"[4, 5, 6, 9, 13]",14,"[4, 6, 9, 13]"
162,162,14,"[2, 4, 6, 8, 9, 11, 13]",14,"[2, 4, 6, 8, 9, 11, 13]"
163,163,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
164,164,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
165,165,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
166,166,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
167,167,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
168,168,14,"[4, 6, 8, 9, 10, 13]",14,"[4, 6, 8, 10, 13]"
169,169,14,"[1, 4, 6, 9, 10, 13]",14,"[1, 4, 6, 9, 10, 13]"
170,170,14,"[4, 6, 8, 10, 13]",14,"[4, 6, 8, 10, 13]"
171,171,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
172,172,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
173,173,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
174,174,14,"[1, 4, 6, 11, 13]",14,"[1, 4, 6, 11, 13]"
175,175,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
176,176,14,"[1, 3, 6, 10, 11, 13]",14,"[1, 3, 6, 10, 11, 13]"
177,177,14,"[2, 3, 4, 6, 11, 13]",14,"[2, 4, 6, 11, 13]"
178,178,14,"[3, 7, 9, 13]",14,"[3, 6, 9, 13]"
179,179,14,"[2, 3, 4, 6, 10, 13]",14,"[2, 3, 4, 6, 10, 13]"
180,180,14,"[2, 6, 9, 12, 13]",14,"[2, 6, 9, 12, 13]"
181,181,14,"[3, 5, 6, 10, 13]",14,"[3, 5, 6, 10, 13]"
182,182,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
183,183,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
184,184,14,"[4, 6, 8, 9, 11, 13]",14,"[4, 6, 8, 9, 11, 13]"
185,185,14,"[2, 4, 6, 10, 13]",14,"[2, 4, 6, 10, 13]"
186,186,14,"[2, 6, 11, 13]",14,"[2, 6, 11, 13]"
187,187,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
188,188,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
189,189,14,"[4, 6, 9, 13]",14,"[4, 6, 9, 13]"
190,190,14,"[2, 4, 6, 11, 13]",14,"[2, 4, 6, 11, 13]"
191,191,14,"[4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
192,192,14,"[2, 4, 6, 9, 11, 13]",14,"[2, 4, 6, 9, 11, 13]"
193,193,14,"[4, 6, 9, 11, 13]",14,"[4, 6, 9, 11, 13]"
194,194,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
195,195,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
196,196,4,"[1, 3]",4,"[1, 3]"
197,197,8,"[3, 5, 7]",8,"[3, 5, 7]"
198,198,19,"[1, 6, 10, 12, 14, 18]",18,"[1, 6, 11, 13, 17]"
199,199,10,"[4, 9]",10,"[4, 9]"
200,200,2,[1],2,[1]
201,201,2,[1],2,[1]
202,202,2,[1],2,[1]
203,203,4,[3],4,[3]
204,204,14,"[3, 6, 13]",13,"[3, 6, 12]"
205,205,7,"[2, 4, 6]",7,"[2, 4, 6]"
206,206,15,"[3, 7, 9, 14]",15,"[3, 6, 7, 9]"
207,207,3,[2],3,[2]
208,208,7,"[2, 6]",7,"[2, 6]"
209,209,4,[3],4,[3]
210,210,6,"[1, 5]",6,"[1, 5]"
211,211,3,[2],4,[3]
212,212,4,[3],4,[3]
213,213,12,"[3, 6, 9, 11]",12,"[3, 6, 9, 11]"
214,214,7,"[1, 6]",7,"[2, 6]"
215,215,6,"[1, 5]",6,"[1, 5]"
216,216,2,[1],2,[1]
217,217,5,"[1, 4]",5,"[1, 4]"
218,218,2,[1],2,[1]
219,219,5,"[2, 4]",5,"[2, 4]"
220,220,7,"[3, 6]",7,"[3, 6]"
221,221,3,[2],3,[2]
222,222,6,"[1, 5]",6,"[1, 2]"
223,223,8,"[3, 7]",9,"[3, 8]"
224,224,7,"[3, 6]",7,"[3, 6]"
225,225,7,"[1, 4, 6]",7,"[1, 4, 6]"
226,226,4,[3],4,[3]
227,227,15,"[2, 7, 9, 11, 14]",15,"[2, 7, 8, 10, 13]"
228,228,3,[2],3,[2]
229,229,2,[1],2,[1]
230,230,5,[4],5,[4]
231,231,2,[1],2,[1]
232,232,3,"[1, 2]",3,"[1, 2]"
233,233,15,"[5, 7, 10, 14]",15,"[5, 7, 10, 14]"
234,234,3,"[1, 2]",3,"[1, 2]"
235,235,2,[1],2,[1]
236,236,3,[2],3,[2]
237,237,4,"[1, 2, 3]",4,"[1, 3]"
238,238,2,[1],2,[1]
239,239,7,"[2, 5, 6]",7,"[2, 6]"
240,240,2,[1],2,[1]
241,241,4,[3],4,[3]
242,242,5,"[2, 4]",5,"[2, 4]"
243,243,2,[1],2,[1]
244,244,2,[1],2,[2]
245,245,7,"[1, 5, 6]",7,"[1, 5, 6]"
246,246,6,"[2, 5]",6,"[2, 5]"
247,247,10,"[5, 9]",10,"[5, 9]"
248,248,5,[4],5,[4]
249,249,2,[1],2,[1]
250,250,15,"[3, 6, 9, 12, 14]",15,"[3, 6, 9, 12, 14]"
251,251,14,"[4, 6, 8, 11, 13]",14,"[4, 6, 8, 10, 13]"
252,252,4,[3],4,[3]
253,253,3,[2],3,[2]
254,254,2,[1],2,[1]
255,255,3,[2],3,[2]
256,256,3,[2],3,[2]
257,257,4,[3],4,[3]
258,258,5,[4],5,[4]
259,259,6,[5],6,[5]
260,260,5,[4],5,"[2, 4]"
261,261,3,[2],3,[2]
262,262,7,"[4, 6]",7,"[4, 6]"
263,263,11,"[2, 6, 8, 10]",11,"[2, 6, 10]"
264,264,7,"[3, 6]",8,"[3, 7]"
265,265,5,"[1, 4]",5,"[1, 4]"
266,266,3,[2],3,[2]
267,267,2,[1],2,[1]
268,268,3,[2],3,[2]
269,269,14,"[1, 3, 6, 9, 13]",14,"[1, 3, 6, 9, 13]"
270,270,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
271,271,14,"[3, 4, 6, 9, 11, 13]",14,"[3, 4, 6, 9, 11, 13]"
272,272,14,"[3, 6, 11, 13]",14,"[3, 6, 11, 13]"
273,273,14,"[1, 4, 5, 8, 13]",14,"[1, 4, 6, 9, 13]"
274,274,14,"[3, 6, 10, 13]",14,"[3, 6, 10, 13]"
275,275,14,"[4, 6, 8, 13]",14,"[4, 6, 8, 13]"
276,276,14,"[1, 6, 9, 13]",14,"[1, 6, 9, 13]"
277,277,14,"[1, 2, 6, 11, 13]",14,"[1, 2, 6, 10, 13]"
278,278,14,"[4, 6, 11, 13]",14,"[3, 6, 11, 13]"
279,279,14,"[4, 6, 8, 11, 13]",14,"[4, 6, 8, 11, 13]"
280,280,14,"[1, 4, 6, 8, 13]",14,"[1, 4, 6, 8, 13]"
281,281,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
282,282,14,"[4, 6, 11, 13]",14,"[4, 6, 11, 13]"
283,283,14,"[2, 4, 6, 9, 13]",14,"[2, 4, 6, 9, 13]"
284,284,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
285,285,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
286,286,14,"[3, 6, 9, 11, 13]",14,"[3, 6, 9, 11, 13]"
287,287,14,"[3, 5, 6, 9, 13]",14,"[3, 5, 6, 9, 13]"
288,288,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
289,289,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
290,290,14,"[1, 3, 6, 10, 13]",14,"[1, 3, 6, 10, 13]"
291,291,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
292,292,14,"[3, 6, 9, 10, 13]",14,"[3, 6, 9, 10, 13]"
293,293,14,"[3, 6, 8, 9, 13]",14,"[3, 6, 8, 9, 13]"
294,294,14,"[2, 4, 6, 10, 13]",14,"[2, 4, 6, 10, 13]"
295,295,14,"[2, 4, 5, 6, 9, 13]",14,"[2, 4, 6, 9, 13]"
296,296,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
297,297,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
298,298,14,"[1, 3, 6, 9, 11, 13]",14,"[1, 3, 6, 9, 11, 13]"
299,299,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
300,300,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
301,301,14,"[3, 6, 9, 13]",14,"[3, 6, 9, 13]"
302,302,14,"[3, 6, 8, 11, 13]",14,"[3, 6, 8, 11, 13]"
303,303,14,"[2, 3, 6, 9, 13]",14,"[2, 3, 6, 9, 13]"
304,304,14,"[3, 6, 10, 11, 13]",14,"[3, 6, 9, 10, 13]"
305,305,14,"[1, 6, 10, 13]",14,"[1, 6, 9, 13]"
306,306,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
307,307,14,"[1, 4, 6, 10, 13]",14,"[1, 4, 6, 10, 13]"
308,308,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
309,309,11,"[1, 4, 8, 9, 10]",11,"[1, 4, 8, 10]"
310,310,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
311,311,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
312,312,11,"[3, 6, 10]",11,"[3, 6, 10]"
313,313,11,"[1, 6, 10]",11,"[1, 6, 10]"
314,314,11,"[1, 3, 6, 8, 10]",11,"[3, 6, 8, 10]"
315,315,11,"[1, 4, 6, 10]",11,"[1, 6, 10]"
316,316,11,"[2, 6, 10]",11,"[2, 6, 10]"
317,317,11,"[1, 3, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
318,318,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
319,319,11,"[4, 6, 10]",11,"[3, 6, 10]"
320,320,11,"[1, 3, 6, 10]",11,"[1, 4, 6, 10]"
321,321,11,"[2, 6, 10]",11,"[2, 6, 10]"
322,322,11,"[1, 3, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
323,323,11,"[3, 4, 6, 10]",11,"[3, 4, 6, 10]"
324,324,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
325,325,11,"[2, 3, 6, 10]",11,"[2, 3, 6, 10]"
326,326,11,"[4, 8, 10]",11,"[1, 4, 8, 10]"
327,327,11,"[1, 3, 6, 10]",11,"[1, 3, 6, 10]"
328,328,11,"[2, 6, 7, 10]",11,"[2, 6, 7, 10]"
329,329,11,"[3, 6, 10]",11,"[3, 6, 10]"
330,330,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
331,331,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
332,332,11,"[1, 4, 8, 10]",11,"[1, 4, 8, 10]"
333,333,11,"[2, 4, 6, 7, 10]",11,"[2, 4, 6, 7, 10]"
334,334,11,"[2, 6, 10]",11,"[2, 6, 10]"
335,335,11,"[1, 6, 7, 9, 10]",11,"[1, 6, 7, 9, 10]"
336,336,11,"[1, 6, 8, 9, 10]",11,"[1, 6, 8, 9, 10]"
337,337,11,"[3, 4, 6, 7, 8, 9, 10]",11,"[3, 4, 6, 7, 8, 10]"
338,338,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
339,339,11,"[2, 4, 8, 10]",11,"[2, 4, 8, 10]"
340,340,11,"[1, 2, 6, 10]",11,"[1, 2, 6, 10]"
341,341,11,"[1, 2, 4, 6, 8, 10]",11,"[1, 2, 4, 6, 8, 10]"
342,342,11,"[1, 4, 6, 8, 10]",11,"[1, 4, 6, 8, 10]"
343,343,11,"[3, 6, 10]",11,"[3, 6, 8, 10]"
344,344,11,"[3, 6, 7, 8, 10]",11,"[3, 6, 7, 8, 10]"
345,345,11,"[3, 6, 10]",11,"[3, 6, 10]"
346,346,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
347,347,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 10]"
348,348,11,"[2, 6, 8, 10]",11,"[2, 6, 8, 10]"
349,349,11,"[1, 3, 6, 8, 10]",11,"[1, 3, 6, 8, 10]"
350,350,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 10]"
351,351,11,"[3, 6, 10]",11,"[3, 6, 10]"
352,352,11,"[1, 2, 4, 8, 10]",11,"[1, 4, 8, 10]"
353,353,11,"[2, 4, 6, 8, 10]",11,"[2, 4, 6, 8, 10]"
354,354,11,"[1, 4, 6, 10]",11,"[1, 4, 6, 8, 10]"
355,355,11,"[2, 4, 6, 10]",11,"[2, 4, 6, 8, 10]"
356,356,11,"[4, 5, 6, 10]",11,"[4, 5, 6, 10]"
357,357,14,"[2, 4, 6, 8, 9, 10, 11, 13]",14,"[2, 4, 6, 8, 9, 11, 13]"
358,358,14,"[4, 6, 10, 13]",14,"[4, 6, 10, 13]"
359,359,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
360,360,14,"[4, 6, 8, 9, 13]",14,"[4, 6, 8, 9, 13]"
361,361,14,"[1, 2, 4, 6, 8, 11, 13]",14,"[1, 2, 4, 6, 8, 11, 13]"
362,362,14,"[1, 6, 10, 13]",14,"[1, 6, 10, 13]"
363,363,14,"[2, 6, 10, 13]",14,"[2, 6, 10, 13]"
364,364,14,"[4, 6, 10, 13]",14,"[4, 6, 9, 13]"
365,365,14,"[1, 2, 3, 6, 8, 10, 13]",14,"[1, 3, 6, 8, 10, 13]"
366,366,14,"[2, 6, 9, 13]",14,"[2, 6, 9, 13]"
367,367,14,"[1, 4, 6, 9, 13]",14,"[1, 4, 6, 9, 13]"
368,368,14,"[1, 2, 3, 6, 9, 10, 13]",14,"[1, 2, 3, 6, 9, 10, 13]"
369,369,14,"[2, 4, 6, 11, 13]",14,"[2, 4, 6, 8, 11, 13]"
370,370,14,"[1, 3, 6, 9, 10, 13]",14,"[1, 3, 6, 9, 10, 13]"
371,371,14,"[2, 3, 6, 10, 12, 13]",14,"[2, 3, 6, 10, 13]"
